559;Mocidade;1;7
560;Unidos Da Tijuca;1;7
561;Salgueiro;1;7
562;Mangueira;1;7
563;União Da Ilha;1;7
564;Grande Rio;1;7
565;Portela;1;7
566;Caprichosos;1;7
567;Tradição;1;7
568;Império Serrano;1;7
569;Tuiuti;1;7
570;(Da Le) Yaleo;1;1
571;Love Of My Life;1;1
572;Put Your Lights On;1;1
573;Africa Bamba;1;1
574;Smooth;1;1
575;Do You Like The Way;1;1
576;Maria Maria;1;1
577;Migra;1;1
578;Corazon Espinado;1;1
579;Wishing It Was;1;1
580;El Farol;1;1
581;Primavera;1;1
582;The Calling;1;1
583;Solução;1;7
584;Manuel;1;7
585;Entre E Ouça;1;7
586;Um Contrato Com Deus;1;7
587;Um Jantar Pra Dois;1;7
588;Vamos Dançar;1;7
589;Um Love;1;7
590;Seis Da Tarde;1;7
591;Baixo Rio;1;7
592;Sombras Do Meu Destino;1;7
593;Do You Have Other Loves?;1;7
594;Agora Que O Dia Acordou;1;7
595;Já!!!;1;7
596;A Rua;1;7
597;Now's The Time;1;2
598;Jeru;1;2
599;Compulsion;1;2
600;Tempus Fugit;1;2
601;Walkin;1;2
602;'Round Midnight;1;2
603;Bye Bye Blackbird;1;2
604;New Rhumba;1;2
605;Generique;1;2
606;Summertime;1;2
607;So What;1;2
608;The Pan Piper;1;2
609;Someday My Prince Will Come;1;2
610;My Funny Valentine (Live);1;2
611;E.S.P.;1;2
612;Nefertiti;1;2
613;Petits Machins (Little Stuff);1;2
614;Miles Runs The Voodoo Down;1;2
615;Little Church (Live);1;2
616;Black Satin;1;2
617;Jean Pierre (Live);1;2
618;Time After Time;1;2
619;Portia;1;2
620;Space Truckin;1;1
621;Going Down / Highway Star;1;1
622;Mistreated (Alternate Version);1;1
623;You Fool No One (Alternate Version);1;1
624;Jeepers Creepers;1;2
625;Blue Rythm Fantasy;1;2
626;Drum Boogie;1;2
627;Let Me Off Uptown;1;2
628;Leave Us Leap;1;2
629;Opus No.1;1;2
630;Boogie Blues;1;2
631;How High The Moon;1;2
632;Disc Jockey Jump;1;2
633;Up An' Atom;1;2
634;Bop Boogie;1;2
635;Lemon Drop;1;2
636;Coronation Drop;1;2
637;Overtime;1;2
638;Imagination;1;2
639;Don't Take Your Love From Me;1;2
640;Midget;1;2
641;I'm Coming Virginia;1;2
642;Payin' Them Dues Blues;1;2
643;Jungle Drums;1;2
644;Showcase;1;2
645;Swedish Schnapps;1;2
646;Samba Da Bênção;1;11
647;Pot-Pourri N.º 4;1;11
648;Onde Anda Você;1;11
649;Samba Da Volta;1;11
650;Canto De Ossanha;1;11
651;Pot-Pourri N.º 5;1;11
652;Formosa;1;11
653;Como É Duro Trabalhar;1;11
654;Minha Namorada;1;11
655;Por Que Será;1;11
656;Berimbau;1;11
657;Deixa;1;11
658;Pot-Pourri N.º 2;1;11
659;Samba Em Prelúdio;1;11
660;Carta Ao Tom 74;1;11
661;Linha de Passe (João Bosco);1;7
662;Pela Luz dos Olhos Teus (Miúcha e Tom Jobim);1;7
663;Chão de Giz (Elba Ramalho);1;7
664;Marina (Dorival Caymmi);1;7
665;Aquarela (Toquinho);1;7
666;Coração do Agreste (Fafá de Belém);1;7
667;Dona (Roupa Nova);1;7
668;Começaria Tudo Outra Vez (Maria Creuza);1;7
669;Caçador de Mim (Sá & Guarabyra);1;7
670;Romaria (Renato Teixeira);1;7
671;As Rosas Não Falam (Beth Carvalho);1;7
672;Wave (Os Cariocas);1;7
673;Garota de Ipanema (Dick Farney);1;7
674;Preciso Apender a Viver Só (Maysa);1;7
675;Susie Q;1;1
676;I Put A Spell On You;1;1
677;Proud Mary;1;1
678;Bad Moon Rising;1;1
679;Lodi;1;1
680;Green River;1;1
681;Commotion;1;1
682;Down On The Corner;1;1
683;Fortunate Son;1;1
684;Travelin' Band;1;1
685;Who'll Stop The Rain;1;1
686;Up Around The Bend;1;1
687;Run Through The Jungle;1;1
688;Lookin' Out My Back Door;1;1
689;Long As I Can See The Light;1;1
690;I Heard It Through The Grapevine;1;1
691;Have You Ever Seen The Rain?;1;1
692;Hey Tonight;1;1
693;Sweet Hitch-Hiker;1;1
694;Someday Never Comes;1;1
695;Walking On The Water;1;1
696;Suzie-Q, Pt. 2;1;1
697;Born On The Bayou;1;1
698;Good Golly Miss Molly;1;1
699;Tombstone Shadow;1;1
700;Wrote A Song For Everyone;1;1
701;Night Time Is The Right Time;1;1
702;Cotton Fields;1;1
703;It Came Out Of The Sky;1;1
704;Don't Look Now;1;1
705;The Midnight Special;1;1
706;Before You Accuse Me;1;1
707;My Baby Left Me;1;1
708;Pagan Baby;1;1
709;(Wish I Could) Hideaway;1;1
710;It's Just A Thought;1;1
711;Molina;1;1
712;Born To Move;1;1
713;Lookin' For A Reason;1;1
714;Hello Mary Lou;1;1
715;Gatas Extraordinárias;1;7
716;Brasil;1;7
717;Eu Sou Neguinha (Ao Vivo);1;7
718;Geração Coca-Cola (Ao Vivo);1;7
719;Lanterna Dos Afogados;1;7
720;Coroné Antonio Bento;1;7
721;Você Passa, Eu Acho Graça (Ao Vivo);1;7
722;Meu Mundo Fica Completo (Com Você);1;7
723;1° De Julho;1;7
724;Música Urbana 2;1;7
725;Vida Bandida (Ao Vivo);1;7
726;Palavras Ao Vento;1;7
727;Não Sei O Que Eu Quero Da Vida;1;7
728;Woman Of The World (Ao Vivo);1;7
729;Juventude Transviada (Ao Vivo);1;7
730;Malandragem;1;7
731;O Segundo Sol;1;7
732;Smells Like Teen Spirit (Ao Vivo);1;7
733;E.C.T.;1;7
